labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
IG2861,	2,	673.75207,	138.39243,	2,	19.256454,	4.5620395,	2025,	2025
IG2862,	4,	672.11413,	137.3107,	2,	19.519498,	3.809204,	-3,	6
IG2864,	6,	444.6758,	93.436143,	2,	6.461185,	3.552306,	1,	1
IG2865,	8,	374.84208,	81.90613,	2,	17.379247,	4.3942448,	NA,	
IG2866,	10,	79.829474,	18.645695,	2,	11.019815,	1.7640209,	NA,	
IG2867,	12,	86.349818,	20.430148,	2,	17.409148,	2.1030226,	NA,	
IG2868,	14,	103.16714,	27.819594,	2,	14.322298,	2.960984,	NA,	
IG2869,	16,	66.718636,	19.226508,	2,	16.967209,	2.3135863,	NA,	
IG2872,	18,	60.972074,	18.746321,	2,	13.620058,	2.7683758,	NA,	
IG2873,	20,	41.893261,	13.377765,	2,	13.187371,	1.9678913,	NA,	
IG2874,	22,	31.50088,	13.699073,	2,	15.299063,	2.2170431,	NA,	
IG2875,	24,	32.579779,	16.172504,	2,	15.447774,	2.5024582,	NA,	
IG2876,	36,	23.119468,	9.8445975,	2,	15.049932,	1.7893885,	NA,	
IG2877,	38,	38.255017,	15.245527,	2,	13.392036,	2.4119938,	NA,	
IG2878,	40,	31.466779,	16.52993,	2,	9.7219332,	2.6917909,	NA,	
IG2879,	42,	27.019543,	11.913706,	2,	12.416728,	1.899839,	NA,	
IG2880,	44,	37.117115,	15.03976,	2,	9.7729086,	2.0205581,	NA,	
IG2881,	46,	27.326558,	14.264869,	2,	8.0881424,	1.8732727,	NA,	
