"depth_min"	"depth_max"	"thickness"	"density"	"Pb210ex"	"Pb210ex_er"	"Cs137"	"Cs137_er"
0	20	20	0.12073942	654.495616	142.9544695	28.568666	4.5675036
20	40	20	0.17706926	652.594632	141.119904	33.783249	5.0491242
40	60	20	0.24231059	438.214615	96.988449	37.686457	5.7885753
60	80	20	0.21416275	357.462833	86.3003748	44.003101	6.6852064
80	100	20	0.58432478	68.809659	20.4097159	25.090416	3.4303335
100	120	20	0.47163094	68.94067	22.5331706	41.446073	5.259897
120	140	20	0.39011664	88.844842	30.780578	67.568966	8.8341939
140	160	20	0.45721115	49.751427	21.5400943	49.436462	6.4024603
160	180	20	0.31140346	47.352016	21.5146968	49.963248	6.5472271
180	200	20	0.46346243	28.70589	15.3456563	37.086677	4.8090516
200	220	20	0.37129875	16.201817	15.9161161	16.389568	2.5525119
220	240	20	0.47317668	17.132005	18.6749622	6.3996005	1.7736426
340	360	20	0.68500284	8.069536	11.633986	0	0
360	380	20	0.29074093	24.862981	17.6575208	0	0
380	400	20	0.38836594	21.7448458	19.2217209	0	0
400	420	20	0.37634589	14.602815	13.813545	0	0
420	440	20	0.42207759	27.3442064	17.0603181	0	0
440	460	20	0.44364536	19.2384156	16.1381417	0	0
