"depth_avg_mm" "BestAD" "MinAD" "MaxAD" "SAR_mm.yr" "SAR_err_mm.yr"
0 NA NA NA 2.40627290030962 0.330938586164212
5 2019.92210208418 2019.63632543833 2020.20787873003 2.40627290030962 0.330938586164212
10 2017.84420001256 2017.2726461493 2018.41575387582 2.40627290030962 0.330938586164212
15 2015.76629794093 2014.90896686027 2016.6236290216 2.40627290030962 0.330938586164212
20 2013.68839586931 2012.54528757124 2014.83150416738 2.40627290030962 0.330938586164212
25 2011.61049379769 2010.18160828221 2013.03937931316 2.40627290030962 0.330938586164212
30 2009.53259172606 2007.81792899318 2011.24725445895 2.40627290030962 0.330938586164212
35 2007.45468965444 2005.45424970415 2009.45512960473 2.40627290030962 0.330938586164212
40 2005.37678758282 2003.09057041512 2007.66300475051 2.40627290030962 0.330938586164212
45 2003.29888551119 2000.72689112609 2005.8708798963 2.40627290030962 0.330938586164212
50 2001.22098343957 1998.36321183706 2004.07875504208 2.40627290030962 0.330938586164212
55 1999.14308136795 1995.99953254803 2002.28663018786 2.40627290030962 0.330938586164212
60 1997.06517929632 1993.635853259 2000.49450533365 2.40627290030962 0.330938586164212
65 1994.9872772247 1991.27217396997 1998.70238047943 2.40627290030962 0.330938586164212
70 1992.90937515308 1988.90849468094 1996.91025562521 2.40627290030962 0.330938586164212
75 1990.83147308145 1986.54481539191 1995.11813077099 2.40627290030962 0.330938586164212
80 1988.75357100983 1984.18113610288 1993.32600591678 2.40627290030962 0.330938586164212
85 1986.67566893821 1981.81745681385 1991.53388106256 2.40627290030962 0.330938586164212
90 1984.59776686658 1979.45377752482 1989.74175620834 2.40627290030962 0.330938586164212
95 1984.59775855498 1979.45376807011 1989.74174903984 2.40627290030962 0.330938586164212
100 1984.59775855498 1979.45376807011 1989.74174903984 2.40627290030962 0.330938586164212
105 1982.51986888612 1977.09010288962 1987.94963488262 2.40627290030962 0.330938586164212
110 1980.44196674985 1974.72642352705 1986.15750997265 2.40627290030962 0.330938586164212
115 1978.36406461358 1972.36274416448 1984.36538506268 2.40627290030962 0.330938586164212
120 1976.28616247731 1969.99906480192 1982.5732601527 2.40627290030962 0.330938586164212
125 1974.20826034104 1967.63538543935 1980.78113524273 2.40627290030962 0.330938586164212
130 1972.13035820477 1965.27170607678 1978.98901033276 2.40627290030962 0.330938586164212
135 1970.0524560685 1962.90802671422 1977.19688542279 2.40627290030962 0.330938586164212
140 1967.97455393223 1960.54434735165 1975.40476051282 2.40627290030962 0.330938586164212
145 1965.89665179597 1958.18066798909 1973.61263560284 2.40627290030962 0.330938586164212
150 1963.8187496597 1955.81698862652 1971.82051069287 2.40627290030962 0.330938586164212
155 1961.74084752343 1953.45330926395 1970.0283857829 2.40627290030962 0.330938586164212
160 1959.66294538716 1951.08962990139 1968.23626087293 2.40627290030962 0.330938586164212
165 1957.58504325089 1948.72595053882 1966.44413596296 2.40627290030962 0.330938586164212
170 1955.50714111462 1946.36227117625 1964.65201105298 2.40627290030962 0.330938586164212
175 1953.42923897835 1943.99859181369 1962.85988614301 2.40627290030962 0.330938586164212
180 1951.35133684208 1941.63491245112 1961.06776123304 2.40627290030962 0.330938586164212
185 1949.27343470581 1939.27123308856 1959.27563632307 2.40627290030962 0.330938586164212
190 1947.19553256954 1936.90755372599 1957.4835114131 2.40627290030962 0.330938586164212
195 1945.11763043327 1934.54387436342 1955.69138650312 2.40627290030962 0.330938586164212
200 1943.039728297 1932.18019500086 1953.89926159315 2.40627290030962 0.330938586164212
205 1940.96182616073 1929.81651563829 1952.10713668318 2.40627290030962 0.330938586164212
210 1938.88392402447 1927.45283627572 1950.31501177321 2.40627290030962 0.330938586164212
215 1936.8060218882 1925.08915691316 1948.52288686324 2.40627290030962 0.330938586164212
220 1934.72811975193 1922.72547755059 1946.73076195326 2.40627290030962 0.330938586164212
225 1932.65021761566 1920.36179818802 1944.93863704329 2.40627290030962 0.330938586164212
230 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
235 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
240 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
245 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
250 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
255 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
260 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
265 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
270 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
275 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
280 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
285 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
290 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
295 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
300 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
305 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
310 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
315 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
320 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
325 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
330 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
335 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
340 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
345 1932.65020099244 1920.36177927859 1944.93862270629 2.40627290030962 0.330938586164212
350 1930.57231966686 1917.99812358883 1943.14651574488 2.40627290030962 0.330938586164212
355 1928.49441756225 1915.63444426229 1941.35439086221 2.40627290030962 0.330938586164212
360 1926.41651545764 1913.27076493574 1939.56226597955 2.40627290030962 0.330938586164212
365 1924.33861335304 1910.90708560919 1937.77014109689 2.40627290030962 0.330938586164212
370 1922.26071124843 1908.54340628264 1935.97801621422 2.40627290030962 0.330938586164212
375 1920.18280914383 1906.17972695609 1934.18589133156 2.40627290030962 0.330938586164212
380 1918.10490703922 1903.81604762954 1932.3937664489 2.40627290030962 0.330938586164212
385 1916.02700493461 1901.452368303 1930.60164156623 2.40627290030962 0.330938586164212
390 1913.94910283001 1899.08868897645 1928.80951668357 2.40627290030962 0.330938586164212
395 1911.8712007254 1896.7250096499 1927.01739180091 2.40627290030962 0.330938586164212
