"depth_top_mm" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "SAR_CRS_mm.yr" "SAR_CRS_err_mm.yr"
0 2022 2022 2022 0 0
20 2017.32155969952 2016.23315357071 2018.40996582832 2.71605207347924 0.699899645978627
40 2008.95956591524 2006.84385403989 2011.07527779059 2.27921919582599 0.606402964501233
60 1998.71324263602 1995.69619567705 2001.73028959498 2.29908139052828 0.66314697835435
80 1988.57099050359 1984.74828545491 1992.39369555227 1.85228341038823 0.579734085407145
90 1986.60106789626 1982.5805308136 1990.62160497891 0 0
100 1986.60106789626 1982.5805308136 1990.62160497891 0 0
100 1986.60106789626 1982.5805308136 1990.62160497891 3.28672612093542 1.23900265354337
120 1982.66122268158 1978.24502153097 1987.07742383219 2.50011292560494 1.00782815184423
140 1975.91596081769 1970.78300470695 1981.04891692843 2.86223591404892 1.406401533292
160 1966.71842090266 1960.55112335009 1972.88571845522 3.45637421957462 1.80773808845827
180 1958.84048134199 1951.67177518336 1966.00918750062 3.14185508692413 1.91269080709501
200 1952.46146755056 1944.18297791305 1960.73995718807 5.57356507894959 5.77548906692925
220 1945.36829884245 1935.76273964219 1954.97385804271 4.08059682777835 4.51565208129537
225 1941.56356656908 1931.36516410068 1951.76196903747 0 0
345 1941.56356656908 1931.36516410068 1951.76196903747 0 0
345 1941.56356656908 1931.36516410068 1951.76196903747 4.43265477627302 5.62589589446638
360 1941.31371565875 1931.04829342837 1951.57913788914 3.54707661558935 2.8375663345362
380 1940.98058111165 1930.62579919862 1951.33536302469 2.50409110265189 2.44469163323901
400 1940.64744656456 1930.20330496887 1951.09158816024 2.8926345283471 3.0412588024474
420 1940.31431201746 1929.78081073913 1950.84781329579 1.08138177067663 0.876778581522147
440 1936.73881108795 1925.75570177118 1947.72192040473 0.621656664179323 0.741320836568822
