"depth_min"	"depth_max"	"thickness"	"density"	"Pb210ex"	"Pb210er_er"	"Cs137"	"Cs137_er"
0	2	20	0.12073942	654.495616	142.9544695	28.568666	4.5675036
2	4	20	0.17706926	652.594632	141.119904	33.783249	5.0491242
4	6	20	0.24231059	438.214615	96.988449	37.686457	5.7885753
6	8	20	0.21416275	357.462833	86.3003748	44.003101	6.6852064
8	10	20	0.58432478	68.809659	20.4097159	25.090416	3.4303335
10	12	20	0.47163094	68.94067	22.5331706	41.446073	5.259897
12	14	20	0.39011664	88.844842	30.780578	67.568966	8.8341939
14	16	20	0.45721115	49.751427	21.5400943	49.436462	6.4024603
16	18	20	0.31140346	47.352016	21.5146968	49.963248	6.5472271
18	20	20	0.46346243	28.70589	15.3456563	37.086677	4.8090516
20	22	20	0.37129875	16.201817	15.9161161	16.389568	2.5525119
22	24	20	0.47317668	17.132005	18.6749622	6.3996005	1.7736426
34	36	20	0.68500284	8.069536	11.633986	0	0
36	38	20	0.29074093	24.862981	17.6575208	0	0
38	40	20	0.38836594	21.7448458	19.2217209	0	0
40	42	20	0.37634589	14.602815	13.813545	0	0
42	44	20	0.42207759	27.3442064	17.0603181	0	0
44	46	20	0.44364536	19.2384156	16.1381417	0	0
46	48	20	0.73901407	0	0	0	0
48	50	20	1.32749693	2.951821	6.8466068	0	0
