"depth_min"	"depth_max"	"thickness"	"density"	"Pb210ex"	"Pb210ex_er"	"Cs137"	"Cs137_er"
0	20	20	0.1393	631.1082757	139.8384719	23.604348	4.5691325
20	40	20	0.199	566.068718	131.0570764	29.998672	6.2144389
40	60	20	0.256666667	614.930651	133.2576829	35.907897	5.2439537
60	80	20	0.4152	326.396328	73.3866406	39.590923	5.1769071
80	100	20	0.4688	97.959789	32.0465602	35.654562	4.8350336
100	120	20	0.385333333	48.093582	20.6682997	37.586795	4.9551067
120	140	20	0.312	31.354702	22.0904072	26.892482	4.0991516
140	160	20	0.4064	31.622674	14.4603118	17.265992	2.3723762
160	180	20	0.83	6.112165	11.3542457	10.210371	1.6148496
180	200	20	1.086	2.008339	14.0299406	10.177716	1.8607282
200	220	20	0.774857143	13.415513	11.2537506	6.1188471	1.0694461
220	240	20	0.539333333	17.50316	15.7415843	4.5940329	1.515066
240	260	20	0.2824	10.406632	14.5214399	3.3950556	0.86297586
260	280	20	0.236	22.745308	20.0937844	3.2759187	1.6942206
280	300	20	0.8216	-0.301555	16.1280823	NULL	NULL
460	480	20	0.6669	17.314606	12.9696974	NULL	NULL
480	500	20	0.55575	4.74844	17.1409864	NULL	NULL
500	520	20	0.33	16.44779	20.6537903	NULL	NULL
