"depth_top_mm" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "SAR_CRS_mm.yr" "SAR_CRS_err_mm.yr"
0 2022 2022 2022 0 0
20 2017.16124530691 2015.99304088499 2018.32944972883 2.98923779993236 0.829430708617147
40 2009.66033247854 2007.45024535137 2011.87041960572 1.68978515775207 0.460876666258037
60 1994.90320443476 1990.98790038545 1998.81850848408 1.24398889456896 0.36672283145461
80 1972.62067121756 1966.18094994005 1979.06039249507 1.83649376658981 0.751799442592811
100 1959.32560916191 1950.62100702694 1968.03021129688 3.01043869673127 1.59633414487826
120 1951.88413216492 1941.31811209811 1962.45015223172 4.52525394536192 3.59470697681844
140 1947.1298941162 1935.2617912188 1958.9979970136 2.97146068274973 1.81714515347126
160 1944.61273065618 1931.80565975918 1957.41980155318 0 0
200 1944.61273065618 1931.80565975918 1957.41980155318 0 0
200 1944.61273065618 1931.80565975918 1957.41980155318 2.90505933392512 2.82625552845172
220 1942.09556719616 1928.34952829955 1955.84160609276 2.51441931880655 2.68849252214451
240 1939.57840373613 1924.89339683993 1954.26341063234 6.07987980808319 9.501013639071
260 1931.83177768765 1914.31102217781 1949.35253319748 2.98828731432631 3.49358930988131
280 1922.69475970706 1901.06079751693 1944.32872189719 15.4622923102735 229.707812533018
300 1919.22462487806 1895.56777319586 1942.88147656027 0 0
460 1919.22462487806 1895.56777319586 1942.88147656027 0 0
460 1919.22462487806 1895.56777319586 1942.88147656027 1.05594087732397 1.11958061685062
480 1911.7210250572 1882.58212020586 1940.85992990854 1.90027715442198 7.39687741788741
500 1911.7210250572 1882.58212020586 1940.85992990854 0.621656664179323 1.10654130374602
