"depth_top_mm" "BestAD_CRS" "MinAD_CRS" "MaxAD_CRS" "SAR_CRS_mm.yr" "SAR_CRS_err_mm.yr"
0 2022 2022 2022 0 0
5 2020.79031132673 2020.49826022125 2021.08236243221 0.747309449983091 0.207357677154287
10 2019.58062265345 2018.99652044249 2020.16472486441 1.49461889996618 0.414715354308573
15 2018.37093398018 2017.49478066374 2019.24708729662 2.24192834994927 0.62207303146286
20 2017.16124530691 2015.99304088499 2018.32944972883 2.98923779993236 0.829430708617147
25 2015.28601709982 2013.85734200158 2016.71469219805 2.66437463938729 0.737292198027369
30 2013.41078889273 2011.72164311818 2015.09993466727 2.33951147884222 0.645153687437592
35 2011.53556068564 2009.58594423478 2013.48517713649 2.01464831829714 0.553015176847814
40 2009.66033247854 2007.45024535137 2011.87041960572 1.68978515775207 0.460876666258037
45 2005.9710504676 2003.33465910989 2008.60744182531 1.57833609195629 0.43733820755718
50 2002.28176845665 1999.21907286841 2005.3444640449 1.46688702616051 0.413799748856324
55 1998.59248644571 1995.10348662693 2002.08148626449 1.35543796036473 0.390261290155467
60 1994.90320443476 1990.98790038545 1998.81850848408 1.24398889456896 0.36672283145461
65 1989.33257113046 1984.7861627741 1993.87897948683 1.39211511257417 0.46299198423916
70 1983.76193782616 1978.58442516275 1988.93945048957 1.54024133057938 0.55926113702371
75 1978.19130452186 1972.3826875514 1983.99992149232 1.6883675485846 0.65553028980826
80 1972.62067121756 1966.18094994005 1979.06039249507 1.83649376658981 0.751799442592811
85 1969.29690570365 1962.29096421177 1976.30284719552 2.12997999912518 0.962933118164172
90 1965.97314018974 1958.4009784835 1973.54530189598 2.42346623166054 1.17406679373553
95 1962.64937467582 1954.51099275522 1970.78775659643 2.7169524641959 1.38520046930689
100 1959.32560916191 1950.62100702694 1968.03021129688 3.01043869673127 1.59633414487826
105 1957.46523991266 1948.29528329473 1966.63519653059 3.38914250888893 2.0959273528633
110 1955.60487066341 1945.96955956253 1965.2401817643 3.7678463210466 2.59552056084835
115 1953.74450141417 1943.64383583032 1963.84516699801 4.14655013320426 3.0951137688334
120 1951.88413216492 1941.31811209811 1962.45015223172 4.52525394536192 3.59470697681844
125 1950.69557265274 1939.80403187828 1961.58711342719 4.13680562970888 3.15031652098165
130 1949.50701314056 1938.28995165846 1960.72407462266 3.74835731405583 2.70592606514485
135 1948.31845362838 1936.77587143863 1959.86103581813 3.35990899840278 2.26153560930806
140 1947.1298941162 1935.2617912188 1958.9979970136 2.97146068274973 1.81714515347126
145 1946.5006032512 1934.39775835389 1958.6034481485 2.2285955120623 1.36285886510345
150 1945.87131238619 1933.53372548899 1958.20889928339 1.48573034137487 0.908572576735632
155 1945.24202152118 1932.66969262408 1957.81435041829 0.742865170687433 0.454286288367816
160 1944.61273065618 1931.80565975918 1957.41980155318 0 0
165 1944.61273065618 1931.80565975918 1957.41980155318 0.18156620837032 0.176640970528233
170 1944.61273065618 1931.80565975918 1957.41980155318 0.36313241674064 0.353281941056465
175 1944.61273065618 1931.80565975918 1957.41980155318 0.54469862511096 0.529922911584698
180 1944.61273065618 1931.80565975918 1957.41980155318 0.72626483348128 0.706563882112931
