soundingID;xcoord;ycoord;depth
S001;-55.76286287;46.86933632;25
S002;-55.76280231;46.8694001;129
S003;-55.76257939;46.86962753;166
S004;-55.76239062;46.86982242;40
S005;-55.76333262;46.86955083;15
S006;-55.76329429;46.86958852;62
S007;-55.76325982;46.86962557;57
S008;-55.7631991;46.86968242;71
S009;-55.76316141;46.86971963;93
S010;-55.76312581;46.86975716;138
S011;-55.76309569;46.86978373;149
S012;-55.76306622;46.86981353;159
S013;-55.76302788;46.86984977;166
S014;-55.76298246;46.86989584;168
S015;-55.76294413;46.86993369;166
S016;-55.76290757;46.86996993;162
S017;-55.76286905;46.87000732;150
S018;-55.76283228;46.87004387;147
S019;-55.76279447;46.87007984;128
S020;-55.76275528;46.8701196;116
S021;-55.76271862;46.87015534;81
S022;-55.76334692;46.86953644;25
S023;-55.7632578;46.86962431;55
S024;-55.76302909;46.86985077;165
S025;-55.76279554;46.87008077;125
S026;-55.76268215;46.8701919;39
S027;-55.76376235;46.86958063;18
S028;-55.76374044;46.86960785;40
S029;-55.76371064;46.86964699;104
S030;-55.76367859;46.86968693;132
S031;-55.76364702;46.86972752;145
S032;-55.7636161;46.86976698;145
S033;-55.76358598;46.86980709;148
S034;-55.7635528;46.86984897;146
S035;-55.76352107;46.86988827;143
S036;-55.76348998;46.86992853;143
S037;-55.76345825;46.86996944;139
S038;-55.76342733;46.87000826;133
S039;-55.76339528;46.87004901;135
S040;-55.76336451;46.87008863;134
S041;-55.76333504;46.87012858;136
S042;-55.76330492;46.87016546;135
S043;-55.76327432;46.87020379;121
S044;-55.7632421;46.87024438;121
S045;-55.76321021;46.87028465;119
S046;-55.76317832;46.87032524;110
S047;-55.76314804;46.87036518;110
S048;-55.76311679;46.87040481;104
S049;-55.76308812;46.87044539;104
S050;-55.76305204;46.87048759;111
S051;-55.76299116;46.87056652;84
S052;-55.76295895;46.87060614;57
S053;-55.76292738;46.87064608;45
S054;-55.76289839;46.87068474;18
S055;-55.76289839;46.87068474;18
S056;-55.76234;46.86937;81
S057;-55.76257;46.86938;156
S058;-55.76278;46.86945;165
S059;-55.76295;46.86956;145
S060;-55.76309;46.86964;82
S061;-55.76335;46.86972;107
S062;-55.76345;46.86973;148
S063;-55.76391;46.86977;146
S064;-55.76406;46.8698;138
S065;-55.76421;46.86981;129
S066;-55.76431;46.86982;79
S067;-55.76398;46.87011;149
S068;-55.76338;46.86981;148
S069;-55.76322;46.86973;127
S070;-55.7631;46.86974;152
S071;-55.76277;46.86956;156
S072;-55.76257;46.86951;155
S073;-55.7624;46.86946;150
S074;-55.7622;46.86945;110
S075;-55.76249;46.86984;78
S076;-55.76265;46.86993;117
S077;-55.76285;46.86995;147
S078;-55.76292;46.87002;152
S079;-55.76302;46.87011;139
S080;-55.7632;46.87016;140
S081;-55.76337;46.87024;133
S082;-55.76354;46.87031;132
S083;-55.76372;46.87036;121
S084;-55.7635;46.87057;103
S085;-55.76335;46.87064;108
S086;-55.76322;46.87064;104
S087;-55.76308;46.87062;106
S088;-55.76304;46.87073;80
S089;-55.76321;46.8707;88
S090;-55.76336;46.87072;86
S091;-55.76371707;46.86957058;0
S092;-55.76375572;46.86957541;0
S093;-55.76383756;46.86959871;0
S094;-55.76385587;46.86960203;0
S095;-55.7638673;46.86960694;0
S096;-55.76389126;46.86961542;0
S097;-55.76391191;46.86962464;0
S098;-55.76393771;46.86963017;0
S099;-55.76395541;46.86963471;0
S100;-55.76398392;46.86964098;0
S101;-55.76400186;46.869647;0
S102;-55.76402226;46.8696529;0
S103;-55.76403578;46.86965425;0
S104;-55.76404843;46.86965548;0
S105;-55.76407793;46.86966064;0
S106;-55.764103;46.86966482;0
S107;-55.76411651;46.86966703;0
S108;-55.76412647;46.869669;0
S109;-55.76413777;46.86967133;0
S110;-55.76415277;46.86967404;0
S111;-55.76417267;46.86967797;0
S113;-55.76418373;46.86968203;0
S114;-55.7641959;46.86968977;0
S115;-55.76421249;46.86969776;0
S116;-55.76422441;46.86970169;0
S117;-55.76423891;46.86970169;0
S118;-55.76425059;46.86970292;0
S119;-55.76429778;46.86970918;0
S120;-55.76432837;46.86971336;0
S121;-55.7643457;46.86971865;0
S122;-55.76435664;46.86972147;0
S123;-55.76437126;46.8697259;0
S124;-55.76438503;46.86973302;0
S125;-55.76439129;46.86974261;0
S126;-55.76439867;46.8697533;0
S127;-55.76441452;46.86976706;0
S128;-55.76442177;46.8697769;0
S129;-55.76442533;46.86978734;0
S130;-55.76442496;46.86979508;0
S131;-55.7644144;46.86980762;0
S132;-55.76440223;46.86982286;0
S133;-55.7643967;46.86983453;0
S134;-55.76439375;46.86985063;0
S135;-55.76439252;46.8698612;0
S136;-55.76439203;46.86987091;0
S137;-55.76438847;46.86988049;0
S138;-55.76438134;46.86988676;0
S139;-55.76436733;46.86989155;0
S140;-55.76435799;46.86989425;0
S141;-55.76434472;46.86990089;0
S142;-55.76433538;46.86990753;0
S143;-55.76432469;46.86991158;0
S144;-55.76430994;46.86991539;0
S145;-55.76429716;46.86991969;0
S146;-55.76428512;46.86992633;0
S147;-55.76427357;46.86993174;0
S148;-55.76426693;46.86993579;0
S149;-55.76426115;46.86993997;0
S150;-55.76425919;46.86994476;0
S151;-55.76425722;46.86995373;0
S152;-55.76425661;46.86995938;0
S153;-55.76425968;46.86998531;0
S154;-55.76426595;46.87000276;0
S155;-55.76426816;46.87001075;0
S156;-55.7642673;46.87001665;0
S157;-55.76425354;46.87003152;0
S158;-55.76424985;46.87003766;0
S159;-55.7642383;46.87004602;0
S160;-55.76422883;46.87004848;0
S161;-55.76422171;46.8700518;0
S162;-55.76421827;46.8700588;0
S163;-55.76421618;46.87006544;0
S164;-55.7642136;46.87007134;0
S165;-55.76420831;46.87007453;0
S166;-55.76419627;46.87007441;0
S167;-55.76418619;46.870069;0
S168;-55.76418017;46.87006114;0
S169;-55.76417526;46.87005929;0
S170;-55.76416751;46.87006359;0
S171;-55.7641653;46.87007121;0
S172;-55.764161;46.87008203;0
S173;-55.76415989;46.87008829;0
S174;-55.76415744;46.87009813;0
S175;-55.76415264;46.87010488;0
S176;-55.76413863;46.87010661;0
S177;-55.76412143;46.87010108;0
S178;-55.76410619;46.87010058;0
S179;-55.76409673;46.87010869;0
S180;-55.76409083;46.87011472;0
S181;-55.7640896;46.87012086;0
S182;-55.76408432;46.87012811;0
S183;-55.76407891;46.87013413;0
S184;-55.76407314;46.87013868;0
S185;-55.7640649;46.87014372;0
S186;-55.76405052;46.87014974;0
S187;-55.76404168;46.87015343;0
S188;-55.76403283;46.87015748;0
S189;-55.76402005;46.87016104;0
S190;-55.76401231;46.87016485;0
S191;-55.76400542;46.87016879;0
S192;-55.76400075;46.8701737;0
S193;-55.7639978;46.87017923;0
S194;-55.76398896;46.8701898;0
S195;-55.76398035;46.8702027;0
S196;-55.76397581;46.87020946;0
S197;-55.76396376;46.87021794;0
S198;-55.76395504;46.87022372;0
S199;-55.76394373;46.8702279;0
S200;-55.76392714;46.87023429;0
S201;-55.76391608;46.87023883;0
S202;-55.76390711;46.87024436;0
S203;-55.76389888;46.87025112;0
S204;-55.76389028;46.8702569;0
S205;-55.76388708;46.87027128;0
S206;-55.76388032;46.87027975;0
S207;-55.76387737;46.87029106;0
S208;-55.76387209;46.8703074;0
S209;-55.7638641;46.87033751;0
S210;-55.76386042;46.87034833;0
S211;-55.76385513;46.87036479;0
S212;-55.76385218;46.87037475;0
S213;-55.76384923;46.87038519;0
S214;-55.76384444;46.87039072;0
S215;-55.76381544;46.87040461;0
S216;-55.76378128;46.87040682;0
S217;-55.76376579;46.87040608;0
S218;-55.76374785;46.87040387;0
S219;-55.76373212;46.87040461;0
S220;-55.76372081;46.87040731;0
S221;-55.76370902;46.87041911;0
S222;-55.76369919;46.87043115;0
S223;-55.76369378;46.87044172;0
S224;-55.76368026;46.87045475;0
S225;-55.7636633;46.87045917;0
S226;-55.76365261;46.870462;0
S227;-55.76364389;46.87046691;0
S228;-55.76363688;46.87047232;0
S229;-55.76362754;46.87047638;0
S230;-55.76361661;46.87048043;0
S231;-55.76360542;46.87048252;0
S232;-55.76359129;46.870484;0
S233;-55.76357962;46.87048486;0
S234;-55.76357003;46.87049186;0
S235;-55.76356167;46.87050034;0
S236;-55.76355258;46.87050784;0
S237;-55.76354422;46.87051533;0
S238;-55.76353697;46.87052172;0
S239;-55.76353157;46.87053082;0
S240;-55.76352788;46.87053954;0
S241;-55.76352727;46.87054704;0
S242;-55.76350503;46.87057724;0
S243;-55.76348032;46.87060959;0
S244;-55.76347786;46.87062102;0
S245;-55.76347958;46.87063232;0
S246;-55.76348561;46.87065125;0
S247;-55.76349421;46.87066145;0
S248;-55.76350306;46.87066698;0
S249;-55.76351522;46.87067423;0
S250;-55.76351817;46.87067804;0
S251;-55.7635269;46.87068258;0
S252;-55.76353697;46.87068443;0
S253;-55.76354816;46.87068652;0
S254;-55.76355406;46.87068996;0
S255;-55.76357224;46.87069721;0
S256;-55.76358281;46.87070224;0
S257;-55.76359461;46.87070642;0
S258;-55.76360493;46.87071072;0
S259;-55.76361501;46.87071134;0
S260;-55.76364684;46.87071171;0
S261;-55.76366121;46.87071232;0
S262;-55.76366846;46.87071736;0
S263;-55.76367068;46.87072658;0
S264;-55.7636708;46.87073628;0
S265;-55.76364966;46.87076541;0
S266;-55.76362324;46.87078138;0
S267;-55.76360038;46.87079761;0
S268;-55.76357261;46.87081493;0
S269;-55.76356081;46.8708228;0
S270;-55.76353095;46.87082108;0
S271;-55.76349998;46.87081727;0
S272;-55.76347799;46.87082071;0
S273;-55.76343731;46.8708244;0
S274;-55.76342367;46.87082907;0
S275;-55.76341372;46.87083435;0
S276;-55.76339651;46.87083963;0
S277;-55.76337906;46.87083939;0
S278;-55.76334158;46.87084283;0
S279;-55.76332548;46.87084135;0
S280;-55.76330177;46.87084394;0
