core_id,depth_from,depth_to
TL09_22_01,0,1
TL09_22_01,21.5,22.5
TL09_22_01,34.5,35
TL09_22_01,35,35.5
TL09_22_02,0,1
TL09_22_02,51,52
TL09_22_02,55.5,56
TL09_22_02,56,56.5
TL09_A_20,0,0.5
TL09_A_20,21,21.5
TL09_A_20,26.5,27
TL09_A_20,27,27.5
TL09_A_40,0,0.5
TL09_A_40,25.5,26
TL09_A_40,34.5,35
TL09_A_40,35,35.5
TL09_B_30,0,0.5
TL09_B_30,29.5,30
TL09_B_30,35.5,36
TL09_B_30,36,36.5
TL09_B_60,28,28.5
TL09_B_60,46.5,47
TL09_B_60,47,47.5
TL09_C_110,0,0.5
TL09_C_110,36.5,37
TL09_C_110,43,43.5
TL09_C_110,43.5,44
TL09_C_30,0,1.5
TL09_C_30,23.5,24
TL09_C_30,28,28.5
TL09_C_30,28.5,29
TL09_C_70,0,0.5
TL09_C_70,35,35.5
TL09_C_70,40.5,41
TL09_C_70,41,41.5
